%Stretch1, Stretch2, Sigma, Sigma_min_mean, Sigma_max_mean, ElEdge_min, ElEdge_max, ElEdge_mean, ElDetJ_min_mean, ElDetJ_max_mean, Stretch_max, Stretch_min, Stretch_mean, Diag_max, Diag_min, Diag_mean, Taper_max, Taper_min, Taper_mean, Skew_max, Skew_min, Skew_mean, dist_lapl_max, dist_lapl_min, dist_lapl_mean, _DROP_TOL_, Iters, Op_Complex, Smoo_Complex, SolveTime, CostEst
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0.005,60,1.26,1.3,55.57,0
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0.05,-1,-1,-1,-1,-1
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0.1,-1,-1,-1,-1,-1
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0.01,55,1.28,1.33,48.35,0
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0.001,117,1.16,1.2,131.2,0
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0.025,30,1.13,1.17,24.32,1
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0.075,-1,-1,-1,-1,-1
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0,82,1.03,1.07,74.83,0
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0.05,-1,-1,-1,-1,-1
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0.1,-1,-1,-1,-1,-1
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0.005,42,1.08,1.12,48.32,0
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0.001,79,1.04,1.08,89.37,0
3.56,14.87,1e0,1,1,1,14.87,8.16891,0.0552737,2.92603,1,0.113037,0.299073,1,1,1,1,1,1,0,0,0,0.616235,0.000736974,0.0379162,0.01,30,1.09,1.13,25.93,1
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0.01,60,1.16,1.2,56.51,0
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0.005,73,1.11,1.15,66.74,0
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0.075,-1,-1,-1,-1,-1
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0.001,84,1.09,1.13,78.61,0
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0,155,1.03,1.07,224.5,0
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0.05,-1,-1,-1,-1,-1
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0.1,-1,-1,-1,-1,-1
7.88,62.10,1e0,1,1,1,62.1,32.1102,0.00713868,3.4933,1,0.0276659,0.133655,1,1,1,1,1,1,0,0,0,0.687299,4.31618e-05,0.0378956,0.025,39,1.24,1.28,33.78,1
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0.025,39,1.21,1.26,31.71,1
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0.075,-1,-1,-1,-1,-1
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0.01,59,1.11,1.15,64.44,0
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0,183,1.03,1.07,242.5,0
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0.005,59,1.1,1.14,61.79,0
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0.05,-1,-1,-1,-1,-1
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0.1,-1,-1,-1,-1,-1
5.74,85.32,1e0,1,1,1,85.32,43.5094,0.00687525,3.36706,1,0.0202535,0.131522,1,1,1,1,1,1,0,0,0,0.671725,2.28795e-05,0.0378992,0.001,75,1.09,1.13,67.64,0
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0.075,-1,-1,-1,-1,-1
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0.005,36,1.06,1.09,22.9,0
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0.025,21,1.11,1.15,20.68,1
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0.05,-1,-1,-1,-1,-1
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0.01,25,1.08,1.12,23.18,0
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0.1,-1,-1,-1,-1,-1
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0.001,42,1.04,1.07,42.27,0
1.61,6.72,1e0,1,1,1,6.72,3.90917,0.198519,2.14782,1,0.248068,0.494969,1,1,1,1,1,1,0,0,0,0.4315,0.00331848,0.0379297,0,43,1.03,1.07,31.91,0
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0.025,21,1.12,1.16,19.12,1
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0,57,1.03,1.07,50.42,0
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0.05,-1,-1,-1,-1,-1
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0.01,26,1.08,1.12,16.74,0
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0.1,-1,-1,-1,-1,-1
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0.001,56,1.04,1.07,49,0
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0.075,-1,-1,-1,-1,-1
2.21,9.24,1e0,1,1,1,9.24,5.22425,0.12169,2.48496,1,0.181308,0.408084,1,1,1,1,1,1,0,0,0,0.519187,0.00184317,0.0379254,0.005,39,1.07,1.11,31.85,0
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0.075,-1,-1,-1,-1,-1
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0.025,22,1.11,1.15,20.64,1
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0.001,52,1.1,1.14,42.5,0
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0,183,1.03,1.07,237.1,0
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0.01,23,1.11,1.15,22.81,1
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0.005,28,1.1,1.14,25.91,0
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0.05,-1,-1,-1,-1,-1
1.89,100.00,1e0,1,1,1,100,50.5612,0.0137038,2.59002,1,0.0173165,0.169887,1,1,1,1,1,1,0,0,0,0.495412,1.66583e-05,0.0379197,0.1,-1,-1,-1,-1,-1
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0.001,84,1.07,1.11,81.9,0
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0.075,-1,-1,-1,-1,-1
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0.01,45,1.11,1.15,32.68,1
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0.025,40,1.19,1.23,47.19,1
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0,126,1.03,1.07,204.2,0
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0.005,46,1.09,1.14,34.38,1
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0.05,-1,-1,-1,-1,-1
4.89,32.90,1e0,1,1,1,32.9,17.2717,0.020033,3.22292,1,0.0520503,0.196497,1,1,1,1,1,1,0,0,0,0.657989,0.000153266,0.0379065,0.1,-1,-1,-1,-1,-1
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0.01,53,1.23,1.28,47.77,0
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0.1,-1,-1,-1,-1,-1
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0.075,-1,-1,-1,-1,-1
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0,153,1.03,1.07,195.6,0
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0.025,32,1.29,1.34,25.9,1
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0.005,70,1.2,1.24,68.79,0
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0.05,-1,-1,-1,-1,-1
17.43,52.98,1e0,1,1,1,52.98,28.7912,0.0040207,3.71288,1,0.0310501,0.111223,1,1,1,1,1,1,0,0,0,0.702237,5.92718e-05,0.0378874,0.001,114,1.09,1.13,119,0
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0.1,-1,-1,-1,-1,-1
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0.075,-1,-1,-1,-1,-1
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0.001,71,1.04,1.07,58.03,0
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0.025,29,1.21,1.25,20.21,1
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0.05,-1,-1,-1,-1,-1
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0.01,36,1.1,1.14,25.43,0
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0.005,44,1.08,1.12,38.92,0
5.74,12.69,1e0,1,1,1,12.69,7.4235,0.0433508,3.15769,1,0.12404,0.282573,1,1,1,1,1,1,0,0,0,0.659618,0.00100358,0.0379104,0,73,1.03,1.07,73.97,0
1.00,45.20,1e0,1,1,1,45.2,23.1,0.04329,1.95671,1,0.038301,0.237674,1,1,1,1,1,1,0,0,0,0.315988,8.13776e-05,0.0379279,0.01,18,1.1,1.14,8.238,0
1.00,45.20,1e0,1,1,1,45.2,23.1,0.04329,1.95671,1,0.038301,0.237674,1,1,1,1,1,1,0,0,0,0.315988,8.13776e-05,0.0379279,0.025,15,1.11,1.15,6.913,1
1.00,45.20,1e0,1,1,1,45.2,23.1,0.04329,1.95671,1,0.038301,0.237674,1,1,1,1,1,1,0,0,0,0.315988,8.13776e-05,0.0379279,0,112,1.03,1.07,113.3,0
1.00,45.20,1e0,1,1,1,45.2,23.1,0.04329,1.95671,1,0.038301,0.237674,1,1,1,1,1,1,0,0,0,0.315988,8.13776e-05,0.0379279,0.05,-1,-1,-1,-1,-1
1.00,45.20,1e0,1,1,1,45.2,23.1,0.04329,1.95671,1,0.038301,0.237674,1,1,1,1,1,1,0,0,0,0.315988,8.13776e-05,0.0379279,0.1,-1,-1,-1,-1,-1
